"","rules","support","confidence","coverage","lift","count"
"184","{LegPress=LegPress,Afundo=Afundo,Crucifixo=Bicicleta} => {Gemeos=Gemeos}",0.0263157894736842,1,0.0263157894736842,6.33333333333333,1
"185","{LegPress=LegPress,Gemeos=Gemeos,Crucifixo=Bicicleta} => {Afundo=Afundo}",0.0263157894736842,1,0.0263157894736842,7.6,1
"186","{Gemeos=LegPress,Afundo=Afundo,Crucifixo=Agachamento} => {LegPress=Gemeos}",0.0526315789473684,1,0.0526315789473684,7.6,2
"187","{LegPress=Gemeos,Gemeos=LegPress,Crucifixo=Agachamento} => {Afundo=Afundo}",0.0526315789473684,1,0.0526315789473684,7.6,2
"188","{LegPress=Gemeos,Afundo=Afundo,Crucifixo=Agachamento} => {Gemeos=LegPress}",0.0526315789473684,1,0.0526315789473684,12.6666666666667,2
"189","{LegPress=Adutor,Gemeos=Agachamento,Afundo=LegPress} => {Crucifixo=Adutor}",0.0789473684210526,1,0.0789473684210526,12.6666666666667,3
"190","{LegPress=Adutor,Gemeos=Agachamento,Crucifixo=Adutor} => {Afundo=LegPress}",0.0789473684210526,1,0.0789473684210526,12.6666666666667,3
"191","{LegPress=Adutor,Afundo=LegPress,Crucifixo=Adutor} => {Gemeos=Agachamento}",0.0789473684210526,1,0.0789473684210526,12.6666666666667,3
"192","{Gemeos=Agachamento,Afundo=LegPress,Crucifixo=Adutor} => {LegPress=Adutor}",0.0789473684210526,1,0.0789473684210526,12.6666666666667,3
"193","{LegPress=Afundo,Gemeos=,Afundo=} => {Crucifixo=}",0.0526315789473684,1,0.0526315789473684,2.375,2
"194","{LegPress=Afundo,Afundo=,Crucifixo=} => {Gemeos=}",0.0526315789473684,1,0.0526315789473684,2.92307692307692,2
"195","{LegPress=Afundo,Gemeos=,Crucifixo=} => {Afundo=}",0.0526315789473684,1,0.0526315789473684,2.92307692307692,2
"196","{LegPress=LegPress,Gemeos=Gemeos,Afundo=Agachamento} => {Crucifixo=}",0.0789473684210526,1,0.0789473684210526,2.375,3
"197","{Gemeos=Gemeos,Afundo=Agachamento,Crucifixo=} => {LegPress=LegPress}",0.0789473684210526,1,0.0789473684210526,2.71428571428571,3
"198","{LegPress=LegPress,Afundo=Agachamento,Crucifixo=} => {Gemeos=Gemeos}",0.0789473684210526,1,0.0789473684210526,6.33333333333333,3
"199","{LegPress=LegPress,Gemeos=Gemeos,Crucifixo=} => {Afundo=Agachamento}",0.0789473684210526,1,0.0789473684210526,12.6666666666667,3
"200","{LegPress=Gemeos,Gemeos=,Afundo=} => {Crucifixo=}",0.0526315789473684,1,0.0526315789473684,2.375,2
